ID,Bloque,Tema,Pregunta,URL_Original,Nombre_Sugerido
"B1_S_011","Señalización Vial","Reglamentarias","¿Qué indica esta señal circular con una bicicleta?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SR-26-PROHIBIDA-LA-CIRCULACION-DE-BICICLETAS.png","B1_S_011.png"
"B1_M_002","El Vehículo","Mecánica Básica","Este testigo amarillo en el tablero (forma de motor) se conoce como 'Check Engine'. ¿Qué indica?","https://www.autofacil.es/wp-content/uploads/2021/04/Testigo-motor-1024x683.jpg","B1_M_002.jpg"
"B1_S_013","Señalización Vial","Preventivas","¿Qué advierte esta señal amarilla con dos flechas en sentidos opuestos?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SP-40-DOBLE-VIA-MAS-ADELANTE.png","B1_S_013.png"
"B1_S_014","Señalización Vial","Reglamentarias","Esta señal (círculo rojo, fondo blanco, 'E' tachada) significa:","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SR-28-PROHIBIDO-PARQUEAR.png","B1_S_014.png"
"B1_S_015","Señalización Vial","Preventivas","¿Qué advierte esta señal?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SP-23-DESCENSO-PELIGROSO.png","B1_S_015.png"
"B1_M_004","El Vehículo","Mecánica Básica","Este testigo rojo en el tablero (termómetro en líquido) indica:","https://www.actualidadmotor.com/wp-content/uploads/2022/03/testigo-temperatura-motor-rojo.jpg","B1_M_004.jpg"
"B1_S_018","Señalización Vial","Informativas","Una señal informativa de color CAFÉ indica:","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SI-20-MONUMENTO-NACIONAL.png","B1_S_018.png"
"B1_S_019","Señalización Vial","Reglamentarias","¿Qué indica esta señal?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SR-29-PROHIBIDO-PITO.png","B1_S_019.png"
"B1_S_020","Señalización Vial","Preventivas","¿Qué advierte esta señal amarilla?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SP-46-ZONA-DE-PEATONES.png","B1_S_020.png"
"B1_S_021","Señalización Vial","Marcas Viales","¿Qué indica una 'X' grande pintada en el pavimento dentro de un cruce?","https://www.motor.com.co/files/article_multimedia/uploads/2021/08/18/611d92305377f.jpeg","B1_S_021.jpg"
